carrier,plan_type,plan_name,plan_price,plan_data,plan_features
virgin,postpaid,"20GB data, talk & text",39.0,20.0,"• Unlimited Canada-wide calling & textingUnlimited international texting from CanadaCall Display
• Voicemail
• Call Waiting and Conference CallingHotspot capabilities"
virgin,postpaid,"80GB data, talk & text",55.0,80.0,"• Unlimited Canada-wide calling & textingUnlimited calling to US
• Bangladesh
• China
• Hong Kong
• India
• Mexico
• and United KingdomUnlimited international texting from CanadaCall Display
• Voicemail
• Call Waiting and Conference CallingHotspot capabilities"
virgin,postpaid,Talk and text.,25.0,0.0,• Unlimited Canada-wide calling & textingPay per use data available at 4G LTE speeds - View Rates
virgin,postpaid,"250MB data, talk & text",19.0,0.244140625,• 100 outgoing calls minutes+ Unlimited incomingUnlimited Canada-wide texting
virgin,postpaid,"3GB data, talk & text",39.0,3.0,• Unlimited Canada-wide calling & texting
koodo,postpaid,Bring Your Own Phone,25.0,0.0,"Perks:One included at no extra charge on select plans, Just for Koodo customers!Get $5 off per month on Netflix, Amazon Prime, and Disney+ for 12 months. Plans starting at just $18/month. Don’t miss out—act fast!, Call Display+, Voicemail, Call Waiting and Conference Calling, US and International Easy Roam"
koodo,postpaid,Buy a new phone,39.0,60.0,"Perks:One included at no extra charge on select plans, Just for Koodo customers!Get $5 off per month on Netflix, Amazon Prime, and Disney+ for 12 months. Plans starting at just $18/month. Don’t miss out—act fast!, Call Display+, Voicemail, Call Waiting and Conference Calling, US and International Easy Roam"
koodo,postpaid,Starter Plans,15.0,0.244140625,100Canada-wide minutes with unlimited incoming minutes
koodo,postpaid,Starter Plans,35.0,3.0,UnlimitedCanada-wide minutes
fido,postpaid,"2GB, Talk & Text - BYOP",37.5,2.0,"• Unlimited Canada-wide and international text
• picture and video messages sent from CanadaTexting not available with Tablet Data-only PlansUnlimited incoming text
• picture and video messaging in CanadaCall Display with Name Display4G LTE network speeds so you can call
• text
• or stream with coverage that keeps up with youPlan features not available with Tablet Data-only PlansData Overage ProtectionData
• Talk & Text plans: +5 EXTRA hours of data. Freedom from WiFiNow you can use your Fido postpaid mobile plan abroad for one low daily fee with Fido RoamTMPlan benefits (excluding Data Overage Protection) are not available with Tablet Data-only Plans"
fido,postpaid,"60GB, Talk & Text - BYOP",44.0,60.0,• Unlimited Canada-wide calling10After $10.00 Automatic Payments Discount
fido,postpaid,"80GB, Talk & Text - BYOP",54.0,80.0,• Unlimited Canada-wide calling10After $10.00 Automatic Payments Discount
fido,postpaid,Talk & Text Plan - BYOP,25.0,0.0,"• Unlimited Canada-wide callingUnlimited Canada-wide and international text
• picture and video messages sent from CanadaVoicemail (up to 3 messages)Unlimited incoming text
• picture and video messaging in CanadaCall Display with Name DisplayNow you can use your Fido postpaid mobile plan abroad for one low daily fee with Fido RoamTM"
fido,postpaid,Talk & Text Plan - BYOP,25.0,0.0,"• Unlimited Canada-wide callingUnlimited Canada-wide and international text
• picture and video messages sent from CanadaVoicemail (up to 3 messages)Unlimited incoming text
• picture and video messaging in CanadaCall Display with Name DisplayNow you can use your Fido postpaid mobile plan abroad for one low daily fee with Fido RoamTM"
fido,postpaid,250MB Basic Plan - BYOP,15.0,0.244140625,"• Data 250 MB of data at 3G speed100 Canada-wide outgoing call minutes (additional minutes 0.45/min)
• unlimited incoming calls. No data available after 250 MB limit"
fido,postpaid,3GB Basic Plan - BYOP,35.0,3.0,• Data 3 GBUnlimited Canada-wide calling
rogers,postpaid,5G Infinite Essential BYOD,50.0,100.0,"• Unlimited data usage at reduced speeds beyond 100 GB
• Unlimited Canada-wide calling3"
rogers,postpaid,5G Infinite Extra BYOD,60.0,150.0,"• Unlimited data usage at reduced speeds beyond 150 GB
• Canada and the U.S.11"
rogers,postpaid,5G Infinite Premium BYOD,75.0,200.0,"• Unlimited data usage at reduced speeds beyond 200 GB
• Canada
• the U.S. and Mexico12"
rogers,postpaid,5G Infinite,None,0.0,
rogers,postpaid,Talk and Text,25.0,0.0,• Unlimited Canada-wide calling
bell,postpaid,Talk & Text 35,25.0,0.0,"• Unlimited Canada-wide calling
• Unlimited Canada-wide text messages"
bell,postpaid,Ultimate 100,49.0,100.0,"• 100 GB of shareable data at our fastest available 5G+ speeds & unlimited data at up to 512kbps theafter.
• 5G+ network access
• Unlimited calling
• texting & data in Canada.
• Standard definition video streaming
• Hotspot capabilities
• Unlimited international texting"
bell,postpaid,Ultimate 150 CAN/U.S.,60.0,150.0,"• 150 GB of shareable data at our fastest available 5G+ speeds & unlimited data at up to 512kbps theafter.
• 5G+ network access
• Unlimited calling
• texting and data in Canada and the U.S.
• Standard definition video streaming
• Hotspot capabilities
• Unlimited international texting"
bell,postpaid,Ultimate 100,60.0,100.0,"• 100 GB of shareable data at our fastest available 5G+ speeds & unlimited data at up to 512 Kbps thereafter
• 5G+ network access
• SD video streaming
• Hotspot capabilities
• Unlimited calling
• texting & data in Canada
• Unlimited international texting
• Bonus: Crave Basic"
bell,postpaid,Ultimate 200 CAN/U.S./MEX,75.0,200.0,"• 200 GB of shareable data at our fastest available 5G+ speeds & unlimited data at up to 512 Kbps thereafter
• 5G+ network access
• HD video streaming
• Hotspot capabilities
• Unlimited calling
• texting & data in Canada
• the U.S. and Mexico
• Unlimited international texting
• 1000 international minutes
• Bonus: Crave Basic"
telus,postpaid,5G Unlimited,59.0,100.0,"• 100GB non-shareable data with speeds up to 250Mbps and unlimited data at reduced speedUnlimited nationwide data
• talk and textAccess to mobile hotspot or tetheringSave up to 39% off for 6 months when you redeem Stream+ PremiumUnlimited international messaging"
telus,postpaid,5G+ Unlimited,70.0,100.0,"• 100GB shareable data at speeds up to 1Gbps and unlimited data at reduced speedUnlimited nationwide data
• talk and textAccess to mobile hotspot or tetheringSave up to 39% off for 6 months when you redeem Stream+ PremiumUnlimited international messaging"
telus,postpaid,5G+ Unlimited CAN-US,70.0,150.0,"• 150GB shareable data at speeds up to 1Gbps and unlimited data at reduced speedUnlimited nationwide data
• talk and textAccess to mobile hotspot or tetheringSave up to 39% off for 6 months when you redeem Stream+ PremiumUnlimited international messaging"
